Sample_ID,Treatment,Variety,Sample,D_conv,D_stress,D_recovery,Category,Rank,R460,R520,R580,R660,R710,R730,R760,R780,R810,R850,R900,VI_NDVI,VI_NDRE,VI_EVI,VI_SIPI,VI_PRI,VI_MTCI,VI_GNDVI,VI_NDWI,BF(F440),GF(F520),RF(F690),FrF(f740),SR_F690_F740,SR_F440_F690,SR_F440_F520,SR_F520_F690,SR_F440_F740,SR_F520_F740,OJIP_FvFm,OJIP_PIabs,OJIP_TRo_RC,OJIP_ETo_RC,OJIP_Vi,OJIP_Vj,OJIP_ABS_RC_log,OJIP_DIo_RC_log,Trt_CK1,Trt_D1,Trt_RD2,mahal_distance,outlier_flag,sample_weight,dR460_520,dR520_580,dR580_660,dR660_710,dR710_730,dR730_760,dR760_780,dR780_810,dR810_850,dR850_900
CK1_12_1,CK1,12,1,0.2649762862421151,0.2427274916209154,0.2872250808633149,Sensitive,9,0.04310355067044,0.1864005714040013,0.1971068559192101,0.1534773122462888,0.085850579546513,0.1701317857820097,0.318089231281054,0.3800667292114657,0.3566121679905334,0.3784086828821867,0.3260408214235703,0.4228939521885267,0.6301610478209647,0.2845797499214654,0.6304078979701542,-0.0279167592323945,-3.434124979968512,0.3399521342596486,0.0743387015408459,0.0598354035989228,0.0964672086980803,0.0708632837555938,0.2419082693668134,0.2929345239490264,0.8443780804860277,0.6202667657169069,1.3613143993533037,0.2473474913892161,0.3987759860822547,0.8303783783783782,3.330548648648649,1.230845945945946,0.6608405405405405,0.8589243243243242,0.4610702702702703,0.9092356328166932,0.2244076169114174,True,False,False,3.0262846109226476,1,1.0,0.0023882836788926883,0.00017843807525348004,-0.0005453692959115162,-0.001352534653995516,0.004214060311774835,0.0049319148499681435,0.003098874896520587,-0.0007818187073644104,0.0005449128722913324,-0.0010473572291723277
CK1_12_2,CK1,12,2,0.2649762862421151,0.2427274916209154,0.2872250808633149,Sensitive,9,0.0417178723155777,0.1780428710461944,0.1568067449516602,0.1524280649099858,0.0859626667109682,0.1807997225385528,0.2830196685164615,0.3240028464919388,0.3407407728523829,0.3317618697644905,0.3087111417634962,0.3703790433769218,0.5884241444579844,0.2318836222099577,0.5990293821039632,0.0634198908214614,-2.9648058605159524,0.3015252436525043,0.0359901628679135,0.0601473765665949,0.1016970994019043,0.0722572072072139,0.2756710401427062,0.2621138845182912,0.8324066042418167,0.5914364997742009,1.407431911525748,0.2181853288384589,0.3689074460355653,0.8323555555555555,3.676697222222222,1.2001416666666662,0.6581166666666666,0.8466305555555556,0.448825,0.8923406490958332,0.2156757364666887,True,False,False,1.434435995952532,0,1.0,0.002272083312176945,-0.0003539354349089035,-5.4733500520929776e-05,-0.0013293079639803524,0.004741852791379231,0.003407331532596956,0.0020491588987738645,0.0005579308786814711,-0.00022447257719730994,-0.00046101456001988673
CK1_12_3,CK1,12,3,0.2649762862421151,0.2427274916209154,0.2872250808633149,Sensitive,9,0.0341313821397218,0.1738782489648488,0.1165025848961799,0.111067654815975,0.0693346283229141,0.1410171296968797,0.2436502135031598,0.2842102263536603,0.2710033869505475,0.3067481324079482,0.2959287732975494,0.4683415120459929,0.6312799437031557,0.2848882554771624,0.6524807308367042,0.1975876413261115,-4.176921739115229,0.27645149863797,0.0179521713976053,0.0668211315326045,0.1094786076667745,0.0783247202250523,0.2861449627199437,0.2737239176016459,0.8531295260971605,0.6103578853957983,1.3977529343536972,0.2335219564030962,0.3825984095189673,0.8323555555555555,3.5123371428571426,1.180477142857143,0.6302942857142858,0.8527742857142856,0.4638484310833333,0.8822303498516119,0.2117208456204293,True,False,False,1.701591872739889,0,1.0,0.00232911444708545,-0.0009562610678111483,-6.793662600256128e-05,-0.000834660529861218,0.003584125068698281,0.0034211027935426696,0.002028000642525024,-0.0004402279801037597,0.0008936186364350174,-0.00021638718220797547
D1_12_1,D1,12,1,0.2649762862421151,0.2427274916209154,0.2872250808633149,Sensitive,9,0.0431416427976883,0.1977674130699466,0.2011903306349816,0.1944889612272476,0.1187699735857205,0.1945889612272476,0.3160700711675018,0.3306537645445307,0.2899118253244378,0.3173210109263843,0.3084086778593046,0.2399954208752037,0.4552972759050991,0.1421211626833429,0.5357054043347637,-0.0085796493944196,-2.605688533190893,0.2321030569968293,0.0142431040517687,0.0656441057344871,0.1145131693503821,0.0916252341756619,0.2961618201435682,0.3093755775147109,0.7164413412247496,0.5732450341698937,1.24979947124457,0.2216494539387296,0.386657433615868,0.7649111111111112,1.7295783783783782,1.279733128843129,0.6194008404833404,0.8607804006149006,0.562372972972973,0.9442129570865008,0.3471173794957916,False,True,False,2.9557631055139226,0,1.0,0.0025770961712043056,5.7048626083916475e-05,-8.376711759667498e-05,-0.001514379752830542,0.003790949382076354,0.004049370331341807,0.0007291846688514458,-0.001358064640669763,0.0006852296400486624,-0.0001782466613415945
D1_12_2,D1,12,2,0.2649762862421151,0.2427274916209154,0.2872250808633149,Sensitive,9,0.0430023971395452,0.2027253820565947,0.2033137742364287,0.201626422688826,0.1150994423900515,0.201726422688826,0.2783621193257798,0.2604758189699946,0.2439198494358187,0.2672125984100008,0.2960097481855981,0.1398906079819682,0.3978769689331239,0.0761053629033291,0.4782242755672245,-0.0014491020645912,-1.8868412668588728,0.1372249509938631,-0.0511292741570872,0.0637475201068573,0.1060930360546177,0.0887211923619641,0.2846766922699746,0.3116559758487685,0.718515140947713,0.6008643207642116,1.1958026386998928,0.2239295376665718,0.3726790387066037,0.7649111111111112,1.8176,1.2975458165308165,0.6296079726154725,0.8572493195338198,0.5544222222222221,0.959718020186446,0.3628120552192182,False,True,False,3.3210009607972126,1,1.0,0.002662049748617492,9.806536330566698e-06,-2.109189434503396e-05,-0.00173053960597549,0.004331349014938726,0.0025545232212317933,-0.00089431501778926,-0.0005518656511391967,0.0005823187243545518,0.0005759429955119466
D1_12_3,D1,12,3,0.2649762862421151,0.2427274916209154,0.2872250808633149,Sensitive,9,0.0452239454177958,0.1839086115510883,0.1808436564299225,0.1774195769765563,0.1089287446531363,0.1807179415149564,0.2534223281288033,0.2908979240466331,0.2773354821618059,0.2764416133581111,0.2523255400242502,0.2181769194381225,0.4346802113322316,0.1236675132540727,0.509445779487944,0.0084028404738667,-2.109677730361383,0.2010056621676978,0.0456081153585978,0.068023260425197,0.0989767865582466,0.0902924802213435,0.2803556254360891,0.3220640928773533,0.7533657308239604,0.6872647892689433,1.0961797284336017,0.242632050971421,0.3530401302595075,0.7649111111111112,1.40506,1.5598849435149436,0.6571497980122979,0.8642463909623911,0.5929540895000001,1.0999430868283124,0.4498330963971879,False,True,False,2.088033903214865,0,1.0,0.0023114111022215418,-5.108258535276346e-05,-4.2800993167077527e-05,-0.0013698166464684,0.003589459843091005,0.002423479553794896,0.001873779795891492,-0.0004520813961609064,-2.234672009236993e-05,-0.0004823214666772191
RD2_12_1,RD2,12,1,0.2649762862421151,0.2427274916209154,0.2872250808633149,Sensitive,9,0.0562267677957722,0.2083616604170656,0.1944286447531118,0.1993141137807988,0.1364340565038369,0.2167519583956768,0.2778092085843928,0.2972398789934724,0.3223000815523339,0.3149894093780087,0.2840237166608388,0.2249163973527745,0.3955384828872688,0.1384223292193865,0.5031321581128313,0.034591238869585,-2.2483305268423504,0.2037403859369594,0.0516945144704428,0.0732937811263685,0.1178227016484202,0.0963808844204566,0.2983541448171996,0.3230418818119808,0.7604597269577048,0.6220684132915943,1.2224696031235596,0.245660341493527,0.3949088814607178,0.796462193936044,1.1496832222222224,2.0537300555555555,0.6881431666666666,0.8492283106141857,0.625977516111111,1.3275886746676016,0.464952016888801,False,False,True,2.7059063823110128,0,1.0,0.002535581543688223,-0.00023221692773256337,6.106836284608744e-05,-0.0012576011455392383,0.004015895094591995,0.0020352416729571996,0.0009715335204539793,0.0008353400852953848,-0.00018276680435813097,-0.0006193138543433974
RD2_12_2,RD2,12,2,0.2649762862421151,0.2427274916209154,0.2872250808633149,Sensitive,9,0.0395571824116568,0.1566274617755954,0.1460357873837777,0.1500204224632237,0.1154447722080199,0.1705583587014685,0.2456673637233723,0.2251716985852265,0.1830556422558294,0.2675868738639791,0.2725765460324957,0.2815239398511073,0.3972050434382133,0.1570878305379533,0.5460385711725043,0.0349949140430358,-3.766309264780472,0.2615645034601135,-0.0092373381532373,0.0724420952687694,0.1083011556749383,0.0965907670538474,0.2727584615850442,0.3541256482278498,0.7499898531024751,0.6688949416136614,1.1212371416663345,0.2655906431691887,0.3970588300208053,0.8083166666666667,1.3956175972222225,1.894217555555556,0.7922400416666666,0.8448908106141857,0.5615368911111109,1.2044397464278662,0.2923279303883385,False,False,True,2.9695323634148205,0,1.0,0.0019511713227323099,-0.00017652790653029476,4.98079384930749e-05,-0.0006915130051040761,0.0027556793246724296,0.0025036335007301274,-0.0010247832569072897,-0.0014038685443132368,0.0021132807902037427,9.979344337033181e-05
RD2_12_3,RD2,12,3,0.2649762862421151,0.2427274916209154,0.2872250808633149,Sensitive,9,0.0508110607762986,0.2057197925238761,0.2001098515289535,0.1766442380798625,0.1116718046843487,0.1767442380798624,0.2295006681318668,0.3113760690632384,0.2687917532974141,0.2589084653648086,0.2353187623347445,0.1888731871377511,0.3973138144165032,0.1061369303877313,0.4777777818733413,0.0138233888917438,-1.813520865250616,0.1144757597636858,0.0477304804413397,0.0720191763708199,0.1031348054848691,0.1016354117717335,0.2621097448935835,0.3877589968057904,0.7086031831278449,0.6983013732600262,1.0147526692274134,0.2747672596933889,0.3934794774127679,0.7802846439997305,0.9423475138888888,2.223552388888889,0.6616533750000001,0.857484768947519,0.6670689261111112,1.4715235389564698,0.6899065650625169,False,False,True,3.9392677353986434,1,1.0,0.0025818121957929584,-9.349901658204327e-05,-0.0002933201681136376,-0.0012994486679102756,0.0032536216697756845,0.0017585476684001465,0.004093770046568581,-0.0014194771921941425,-0.0002470821983151378,-0.0004717940606012822
CK1_73_1,CK1,73,1,0.3276960420194899,0.339055735035649,0.3163363490033307,Intermediate,8,0.0335461445107635,0.1971970849000958,0.1843522609802082,0.1638076164599538,0.091610225551328,0.2032093607433052,0.3366045319207202,0.3990777433296766,0.3569868746768616,0.3549676657306175,0.3266662636065527,0.3684833410462934,0.5897234172617097,0.2290749518682209,0.6195775554314528,0.0336649087600602,-3.393395573238936,0.2857309899296075,0.0415199433329755,0.072743173785279,0.1170057004745692,0.0823181084400337,0.3162268362464798,0.2603134806365401,0.8836837370953667,0.6217062367736422,1.4213847056224076,0.2300347896646462,0.3700056004935954,0.8292432432432431,3.391932432432432,1.2605351351351348,0.6849459459459459,0.8319189189189189,0.4520108108108109,0.9243725801753544,0.230903634106753,True,False,False,3.4881658014466064,1,1.0,0.0027275156731555385,-0.00021408039866479314,-0.0002568080565031803,-0.0014439478181725157,0.00557995675959886,0.004446505705913833,0.00312366057044782,-0.0014030289550938343,-5.0480223656101944e-05,-0.0005660280424812958
