Config,Modalities,N_Features,R2,RMSE,Spearman,Pairwise_Acc,Hit@3,Hit@5
Multi-only,Multi,19,0.798084624519729,0.05913425161475292,0.9945054945054945,0.9871794871794872,1.0,1.0
Static-only,Static,10,0.8130464194895919,0.056901183959697246,0.9230769230769231,0.8974358974358975,0.6666666666666666,1.0
OJIP-only,OJIP,8,0.9107020275522264,0.03932558650913164,0.9780219780219779,0.9487179487179487,1.0,1.0
Multi+Static,Multi+Static,29,0.8830911630317076,0.04499643218472607,0.9780219780219779,0.9615384615384616,1.0,1.0
Multi+OJIP,Multi+OJIP,27,0.9080944496893973,0.03989562557723445,0.9780219780219779,0.9487179487179487,1.0,1.0
Static+OJIP,Static+OJIP,18,0.9237482246010699,0.037212066708490055,0.9945054945054945,0.9871794871794872,1.0,1.0
Full Fusion,Multi+Static+OJIP,37,0.9408417956435933,0.03200824783502872,1.0,1.0,1.0,1.0
