Config,Spearman,Full_Fusion,Gain,Gain_Pct
Multi-only,0.9945054945054945,1.0,0.005494505494505475,0.5524861878453019
Static-only,0.9230769230769231,1.0,0.07692307692307687,8.333333333333327
OJIP-only,0.9780219780219779,1.0,0.021978021978022122,2.2471910112359703
Multi+Static,0.9780219780219779,1.0,0.021978021978022122,2.2471910112359703
Multi+OJIP,0.9780219780219779,1.0,0.021978021978022122,2.2471910112359703
Static+OJIP,0.9945054945054945,1.0,0.005494505494505475,0.5524861878453019
