Model,Layer,R2,RMSE,Spearman,Kendall_tau,Pairwise_Acc,Hit@3,Hit@5,Jaccard@3,Jaccard@5,NDCG@5,Mean_Rank_Error,Accuracy_3class,Kappa
PLSR,Layer1,0.9361926675733127,0.03324219583881776,0.9780219780219779,0.8974358974358972,0.9487179487179487,1.0,1.0,1.0,1.0,0.9980834818203147,0.6153846153846154,0.9230769230769231,0.8839285714285714
SVR,Layer1,0.42109474483471443,0.10012860265866838,0.9395604395604396,0.8205128205128204,0.9102564102564102,1.0,0.8,1.0,0.6666666666666666,0.9681266465343549,0.9230769230769231,0.3076923076923077,0.0
Ridge,Layer2,0.9016776105555743,0.041264883331937494,0.9395604395604396,0.8205128205128204,0.9102564102564102,0.6666666666666666,1.0,0.5,1.0,0.9822403113015611,1.0769230769230769,0.8461538461538461,0.7699115044247788
RF,Layer2,0.8508258993008133,0.0508277779080856,0.967032967032967,0.8974358974358972,0.9487179487179487,1.0,1.0,1.0,1.0,1.0,0.6153846153846154,0.9230769230769231,0.8839285714285714
CatBoost,Layer2,0.8673996313289027,0.04792109963932851,0.9780219780219779,0.9230769230769229,0.9615384615384616,1.0,1.0,1.0,1.0,1.0,0.46153846153846156,0.9230769230769231,0.8839285714285714
TabPFN,Layer3,0.9428595209174919,0.031457655211282055,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9230769230769231,0.8839285714285714
