Feature_Set,R2,RMSE,MAE,Pearson_r,Pearson_p,Spearman_r,Spearman_p,Pairwise_Acc,Hit@3,Hit@5
FS1,0.556292453591309,0.08766027262207222,0.07858577599354905,0.8799041047528832,7.290979956341296e-05,0.8681318681318682,0.0001191025598004272,0.8461538461538461,1.0,0.8
FS2,0.8242606604277182,0.05516821145405258,0.048221663509360774,0.9624902443520205,1.4243077104425435e-07,0.967032967032967,7.064113887175165e-08,0.9358974358974359,0.6666666666666666,0.8
FS3,0.7188515083949454,0.06977860587681302,0.0616889109584364,0.9364532505988263,2.459615308268007e-06,0.967032967032967,7.064113887175165e-08,0.9487179487179487,1.0,1.0
FS4,0.809235835590297,0.05747815334685548,0.05044527008513945,0.9769233693586048,1.012357476809933e-08,0.989010989010989,1.7507283021964818e-10,0.9743589743589743,1.0,1.0
