Feature_Set,N_Features,R2,RMSE,Spearman,Pairwise_Acc,Hit@3,Hit@5
FS1,22,0.556292453591309,0.08766027262207222,0.8681318681318682,0.8461538461538461,1.0,0.8
FS2,13,0.8242606604277182,0.05516821145405258,0.967032967032967,0.9358974358974359,0.6666666666666666,0.8
FS3,32,0.7188515083949454,0.06977860587681302,0.967032967032967,0.9487179487179487,1.0,1.0
FS4,40,0.809235835590297,0.05747815334685548,0.989010989010989,0.9743589743589743,1.0,1.0
