Model,Accuracy_3class,Balanced_Acc,Kappa,Macro_F1
PLSR,0.9230769230769231,0.9166666666666666,0.8839285714285714,0.9153439153439153
SVR,0.3076923076923077,0.3333333333333333,0.0,0.1568627450980392
Ridge,0.8461538461538461,0.85,0.7699115044247788,0.8425925925925926
RF,0.9230769230769231,0.9166666666666666,0.8839285714285714,0.9153439153439153
CatBoost,0.9230769230769231,0.9166666666666666,0.8839285714285714,0.9153439153439153
TabPFN,0.9230769230769231,0.9166666666666666,0.8839285714285714,0.9153439153439153
