Sample_ID,Treatment,Variety,Sample,R460,R520,R580,R660,R710,R730,R760,R780,R810,R850,R900,D_conv,D_stress,D_recovery,Category,Rank,MD_ref_non_target_before,MD_ref_non_target_after,MD_clip_threshold,MD_clip_scale
CK1_1099_1,CK1,1099,1,0.0322543916518913,0.1669963044103894,0.1623836488693103,0.1360510883265176,0.0694090871423007,0.1607376758201293,0.2881587689783874,0.2873180627665938,0.3152271975582753,0.3447817418062732,0.3230253591851095,0.5283258341525979,0.3479699142318796,0.7086817540733164,Tolerant,3,2.996860090372173,2.996860090372173,3.515274387250304,1.0
CK1_1099_2,CK1,1099,2,0.04115686221898461,0.21034709535542342,0.15088413766372477,0.13678710979823558,0.07993655699926831,0.1673565754953532,0.32968630603945187,0.3591511424933066,0.3859569700099884,0.3794740660921734,0.36220574612698847,0.5283258341525979,0.3479699142318796,0.7086817540733164,Tolerant,3,5.238253317119222,3.5152743872503045,3.515274387250304,0.6710775853015695
CK1_1099_3,CK1,1099,3,0.03405063200411,0.1773088754196509,0.1470524463868327,0.1314745358408033,0.0786447123594531,0.1627944386461627,0.2836434185942659,0.3578793725039669,0.3303739322322437,0.3320603348179411,0.3106342895183103,0.5283258341525979,0.3479699142318796,0.7086817540733164,Tolerant,3,1.9015919194492956,1.9015919194492956,3.515274387250304,1.0
D1_1099_1,D1,1099,1,0.0320270225030141,0.1368734943388556,0.1382089201030709,0.1620011730270355,0.0771812560270298,0.1621011730270355,0.2972323887988119,0.3253589429434577,0.3483499581897039,0.3172921713037889,0.3011528143763446,0.5283258341525979,0.3479699142318796,0.7086817540733164,Tolerant,3,2.7223928874494008,2.7223928874494008,3.134469129628454,1.0
D1_1099_2,D1,1099,2,0.0272998026292968,0.1277422760920745,0.065256758692611,0.1321820992644462,0.0602741315964227,0.1322820992644462,0.20831741487696,0.2163463822896361,0.2449415316584322,0.2468976396717273,0.2453496022975562,0.5283258341525979,0.3479699142318796,0.7086817540733164,Tolerant,3,3.0050086291963956,3.0050086291963956,3.134469129628454,1.0
D1_1099_3,D1,1099,3,0.022240194838103,0.114553755933368,0.0851581542092268,0.1104877221011349,0.0777999258655973,0.1105877221011349,0.1742556640288234,0.1722829486700864,0.1704606864869483,0.1864952992548778,0.2125632538135458,0.5283258341525979,0.3479699142318796,0.7086817540733164,Tolerant,3,2.491220491864419,2.491220491864419,3.134469129628454,1.0
RD2_1099_1,RD2,1099,1,0.05525472402182564,0.17218281560538046,0.19031066639437977,0.15597436242765825,0.12957009286163307,0.19279915611931916,0.25432727544057115,0.34230436341893306,0.3708257980921449,0.36840298594840903,0.3316575513599815,0.5283258341525979,0.3479699142318796,0.7086817540733164,Tolerant,3,4.347849960309499,3.4980536803124465,3.498053680312446,0.8045479288028237
RD2_1099_2,RD2,1099,2,0.045741347749831456,0.16895055337044762,0.14742365773473784,0.15133071996245467,0.10832521386342002,0.18383828616732414,0.22388760733675978,0.28117874174184676,0.29107936970440956,0.3877212398928337,0.3583448992823758,0.5283258341525979,0.3479699142318796,0.7086817540733164,Tolerant,3,5.348063415014031,3.498053680312446,3.498053680312446,0.6540785717858337
RD2_1099_3,RD2,1099,3,0.058751904550383524,0.174875488424545,0.19194165375909406,0.1792730987299858,0.15151001590063373,0.2417506700321405,0.2944934386148165,0.36231131790493887,0.3719256187996939,0.3235404923742664,0.2949866810568451,0.5283258341525979,0.3479699142318796,0.7086817540733164,Tolerant,3,6.021602697594091,3.498053680312446,3.498053680312446,0.580917382960201
CK1_1235_1,CK1,1235,1,0.0362364062580721,0.1745304358425281,0.1310406046272519,0.0824434975543254,0.0623887257104514,0.1148529730861743,0.2023317277136957,0.260427867455333,0.2756907377069945,0.2545198752519093,0.2588791283277568,0.1730928483356376,0.2353341300842579,0.1108515665870173,Sensitive,13,3.2525735821277975,3.2525735821277975,3.515274387250304,1.0
CK1_1235_2,CK1,1235,2,0.0375341358818304,0.1268488506073218,0.115304892726222,0.1062237673713767,0.0694598100175063,0.1264227813700572,0.1920122260017478,0.2724382936163779,0.2140595437309703,0.2466509357900662,0.2194521825303969,0.1730928483356376,0.2353341300842579,0.1108515665870173,Sensitive,13,3.253227341971253,3.253227341971253,3.515274387250304,1.0
CK1_1235_3,CK1,1235,3,0.03549322473267147,0.15987656875889228,0.1040249062877211,0.12039770217959828,0.06241825288857359,0.13606198210974618,0.268245465352644,0.26322138970234693,0.3023805712299779,0.3181948729950622,0.29172587405257533,0.1730928483356376,0.2353341300842579,0.1108515665870173,Sensitive,13,5.329915602990868,3.5152743872503014,3.515274387250304,0.6595365947779206
D1_1235_1,D1,1235,1,0.0502919269832149,0.1532142451010895,0.1673211872856766,0.1618420454586241,0.1140728933522092,0.1775355941038383,0.2798677774265782,0.2521466142618933,0.2173409770663412,0.2376409367125859,0.2312427269649805,0.1730928483356376,0.2353341300842579,0.1108515665870173,Sensitive,13,2.443901918516218,2.443901918516218,3.134469129628454,1.0
D1_1235_2,D1,1235,2,0.0295957429635171,0.1300983643618538,0.1178005893840065,0.1156441517098953,0.0608832662171597,0.1157441517098954,0.1610802534758289,0.1776978972517545,0.2191093567039574,0.2362470295784238,0.2174279152316597,0.1730928483356376,0.2353341300842579,0.1108515665870173,Sensitive,13,2.782588989322956,2.782588989322956,3.134469129628454,1.0
