Sample_ID,Treatment,Variety,Sample,R460,R520,R580,R660,R710,R730,R760,R780,R810,R850,R900,D_conv,D_stress,D_recovery,Category,Rank,MD_ck1ref
CK1_1099_1,CK1,1099,1,0.0322543916518913,0.1669963044103894,0.1623836488693103,0.1360510883265176,0.0694090871423007,0.1607376758201293,0.2881587689783874,0.2873180627665938,0.3152271975582753,0.3447817418062732,0.3230253591851095,0.5283258341525979,0.3479699142318796,0.7086817540733164,Tolerant,3,2.9968600903721736
CK1_1099_2,CK1,1099,2,0.04115686221898461,0.21034709535542342,0.15088413766372477,0.13678710979823558,0.07993655699926831,0.16735657549535324,0.32968630603945187,0.35915114249330665,0.38595697000998846,0.3794740660921734,0.36220574612698847,0.5283258341525979,0.3479699142318796,0.7086817540733164,Tolerant,3,3.5152743872503045
CK1_1099_3,CK1,1099,3,0.03405063200411,0.1773088754196509,0.1470524463868327,0.1314745358408033,0.0786447123594531,0.1627944386461627,0.2836434185942659,0.3578793725039669,0.3303739322322437,0.3320603348179411,0.3106342895183103,0.5283258341525979,0.3479699142318796,0.7086817540733164,Tolerant,3,1.9015919194492958
D1_1099_1,D1,1099,1,0.0320270225030141,0.1368734943388556,0.1382089201030709,0.1620011730270355,0.0771812560270298,0.1621011730270355,0.2972323887988119,0.3253589429434577,0.3483499581897039,0.3172921713037889,0.3011528143763446,0.5283258341525979,0.3479699142318796,0.7086817540733164,Tolerant,3,4.5278921211959515
D1_1099_2,D1,1099,2,0.025897695493928008,0.10834227126701074,0.057295801771046456,0.1250333430035362,0.057123271458720815,0.12259723532507363,0.17030337514016528,0.18147349454282957,0.19557937267284153,0.20948002451056857,0.2078654451461664,0.5283258341525979,0.3479699142318796,0.7086817540733164,Tolerant,3,4.879011683713436
D1_1099_3,D1,1099,3,0.022240194838103,0.114553755933368,0.0851581542092268,0.1104877221011349,0.0777999258655973,0.1105877221011349,0.1742556640288234,0.1722829486700864,0.1704606864869483,0.1864952992548778,0.2125632538135458,0.5283258341525979,0.3479699142318796,0.7086817540733164,Tolerant,3,3.8997432039693765
RD2_1099_1,RD2,1099,1,0.0574117571576794,0.1719544737081535,0.1982489651601638,0.155927951260832,0.1345231889135415,0.1983606047244162,0.2616116286572634,0.3675985703254135,0.4080774832619819,0.3989306927130045,0.3566506549020619,0.5283258341525979,0.3479699142318796,0.7086817540733164,Tolerant,3,6.829004754512907
RD2_1099_2,RD2,1099,2,0.04400378673603791,0.14734400630393094,0.13406282768052247,0.14162505107660978,0.10472151944463232,0.18152159686173122,0.18563305647025186,0.26904403449218106,0.2806389123315973,0.426979370800822,0.3893849161986795,0.5283258341525979,0.3479699142318796,0.7086817540733164,Tolerant,3,11.181628284310717
RD2_1099_3,RD2,1099,3,0.067680333993103,0.1761399409832409,0.2166917886174039,0.1959433384465572,0.1820464883501368,0.293580273546386,0.3451014821030689,0.451858136299218,0.4833413867225705,0.3818308705010419,0.3427511019915389,0.5283258341525979,0.3479699142318796,0.7086817540733164,Tolerant,3,10.763324622331483
CK1_1235_1,CK1,1235,1,0.0362364062580721,0.1745304358425281,0.1310406046272519,0.0824434975543254,0.0623887257104514,0.1148529730861743,0.2023317277136957,0.260427867455333,0.2756907377069945,0.2545198752519093,0.2588791283277568,0.1730928483356376,0.2353341300842579,0.1108515665870173,Sensitive,13,3.2525735821277983
