Sample_ID,Treatment,Variety,Sample,BF(F440),GF(F520),RF(F690),FrF(f740),D_conv,D_stress,D_recovery,Category,Rank
CK1_12_1,CK1,12,1,0.0598354035989228,0.0964672086980803,0.0708632837555938,0.2419082693668134,0.2649762862421151,0.2427274916209154,0.2872250808633149,Sensitive,9
CK1_12_2,CK1,12,2,0.0601473765665949,0.1016970994019043,0.0722572072072139,0.2756710401427062,0.2649762862421151,0.2427274916209154,0.2872250808633149,Sensitive,9
CK1_12_3,CK1,12,3,0.0668211315326045,0.1094786076667745,0.0783247202250523,0.2861449627199437,0.2649762862421151,0.2427274916209154,0.2872250808633149,Sensitive,9
D1_12_1,D1,12,1,0.0656441057344871,0.1352171503689312,0.0754625428670751,0.2961618201435682,0.2649762862421151,0.2427274916209154,0.2872250808633149,Sensitive,9
D1_12_2,D1,12,2,0.0637475201068573,0.1252746569732926,0.0730707740293136,0.2846766922699746,0.2649762862421151,0.2427274916209154,0.2872250808633149,Sensitive,9
D1_12_3,D1,12,3,0.068023260425197,0.1168717895679775,0.0743648867102985,0.2803556254360891,0.2649762862421151,0.2427274916209154,0.2872250808633149,Sensitive,9
RD2_12_1,RD2,12,1,0.0732937811263685,0.1251512736909519,0.0632644125335877,0.2983541448171996,0.2649762862421151,0.2427274916209154,0.2872250808633149,Sensitive,9
RD2_12_2,RD2,12,2,0.0724420952687694,0.1150374875579194,0.0634021794941454,0.2727584615850442,0.2649762862421151,0.2427274916209154,0.2872250808633149,Sensitive,9
RD2_12_3,RD2,12,3,0.0720191763708199,0.1095497903860279,0.0667134842869658,0.2621097448935835,0.2649762862421151,0.2427274916209154,0.2872250808633149,Sensitive,9
CK1_73_1,CK1,73,1,0.072743173785279,0.1170057004745692,0.0823181084400337,0.3162268362464798,0.3276960420194899,0.339055735035649,0.3163363490033307,Intermediate,8
CK1_73_2,CK1,73,2,0.0769660622684659,0.1550553890811623,0.087365009297172,0.3390150044654395,0.3276960420194899,0.339055735035649,0.3163363490033307,Intermediate,8
CK1_73_3,CK1,73,3,0.0740270970028112,0.1420628511858073,0.085603591536284,0.3056900041052598,0.3276960420194899,0.339055735035649,0.3163363490033307,Intermediate,8
