Sample_ID,Treatment,Variety,Sample,R460,R520,R580,R660,R710,R730,R760,R780,R810,R850,R900,D_conv,D_stress,D_recovery,Category,Rank,BF(F440),GF(F520),RF(F690),FrF(f740),OJIP_ABS_RC,OJIP_DIo_RC,OJIP_ETo_RC,OJIP_Fm,OJIP_Fo,OJIP_Fv,OJIP_FvFm,OJIP_N,OJIP_PIabs,OJIP_Sm,OJIP_TRo_RC,OJIP_Vi,OJIP_Vj,OJIP_phiEo,OJIP_phiPo,OJIP_psiEo
CK1_12_1,CK1,12,1,0.04310355067044,0.1864005714040013,0.1971068559192101,0.1534773122462888,0.085850579546513,0.1701317857820097,0.318089231281054,0.3800667292114657,0.3566121679905334,0.3784086828821867,0.3260408214235703,0.2649762862421151,0.2427274916209154,0.2872250808633149,Sensitive,9,0.0598354035989228,0.0964672086980803,0.0708632837555938,0.2419082693668134,1.4824243243243242,0.251581081081081,0.6608405405405405,25418.783783783783,4312.702702702703,21106.08108108108,0.8303783783783782,15.124040540540545,3.330548648648649,12.32218918918919,1.230845945945946,0.8589243243243242,0.4610702702702703,0.4476702702702702,0.8303486486486487,0.5389297297297296
CK1_12_2,CK1,12,2,0.0417178723155777,0.1780428710461944,0.1568067449516602,0.1524280649099858,0.0859626667109682,0.1807997225385528,0.2830196685164615,0.3240028464919388,0.3407407728523829,0.3317618697644905,0.3087111417634962,0.2649762862421151,0.2427274916209154,0.2872250808633149,Sensitive,9,0.0601473765665949,0.1016970994019043,0.0722572072072139,0.2756710401427062,1.4408361111111112,0.2407,0.6581166666666666,27221.5,4651.502777777778,22569.99722222222,0.8323555555555555,15.453908333333333,3.676697222222222,12.980319444444444,1.2001416666666662,0.8466305555555556,0.448825,0.4591166666666666,0.8323188888888889,0.5511750000000002
CK1_12_3,CK1,12,3,0.0341313821397218,0.1738782489648488,0.1165025848961799,0.111067654815975,0.0693346283229141,0.1410171296968797,0.2436502135031598,0.2842102263536603,0.2710033869505475,0.3067481324079482,0.2959287732975494,0.2649762862421151,0.2427274916209154,0.2872250808633149,Sensitive,9,0.0668211315326045,0.1094786076667745,0.0783247202250523,0.2861449627199437,1.4162828571428572,0.2358028571428571,0.6302942857142858,27221.5,4651.502777777778,22569.99722222222,0.8323555555555555,14.622722857142858,3.5123371428571426,12.47368299888889,1.180477142857143,0.8527742857142856,0.4638484310833333,0.4469342857142857,0.8323188888888889,0.5359828571428571
D1_12_1,D1,12,1,0.0431416427976883,0.1977674130699466,0.2011903306349816,0.1944889612272476,0.1187699735857205,0.1945889612272476,0.3160700711675018,0.3306537645445307,0.2899118253244378,0.3173210109263843,0.3084086778593046,0.2649762862421151,0.2427274916209154,0.2872250808633149,Sensitive,9,0.0656441057344871,0.1145131693503821,0.0916252341756619,0.2961618201435682,1.5707892606892606,0.4149828055913057,0.6194008404833404,13697.525416606604,3313.937901794796,10383.587514811808,0.7649111111111112,16.672515642070646,1.7295783783783782,11.50330176276276,1.279733128843129,0.8607804006149006,0.562372972972973,0.3563891891891891,0.7648783333333333,0.437627027027027
D1_12_2,D1,12,2,0.0430023971395452,0.2027253820565947,0.2033137742364287,0.201626422688826,0.1150994423900515,0.201726422688826,0.2783621193257798,0.2604758189699946,0.2439198494358187,0.2672125984100008,0.2960097481855981,0.2649762862421151,0.2427274916209154,0.2872250808633149,Sensitive,9,0.0637475201068573,0.1060930360546177,0.0887211923619641,0.2846766922699746,1.6109601315601318,0.4373656884741885,0.6296079726154725,13900.754395585584,3390.051265158159,10510.703130427426,0.7649111111111112,16.393539440869443,1.8176,11.362573309309308,1.2975458165308165,0.8572493195338198,0.5544222222222221,0.3616361111111111,0.7648783333333333,0.4455777777777777
D1_12_3,D1,12,3,0.0452239454177958,0.1839086115510883,0.1808436564299225,0.1774195769765563,0.1089287446531363,0.1807179415149564,0.2534223281288033,0.2908979240466331,0.2773354821618059,0.2764416133581111,0.2523255400242502,0.2649762862421151,0.2427274916209154,0.2872250808633149,Sensitive,9,0.068023260425197,0.0989767865582466,0.0902924802213435,0.2803556254360891,2.0039950521950525,0.5680504503789504,0.6571497980122979,13777.470187807809,3379.716388602604,10397.753799205204,0.7649111111111112,15.833656028171031,1.40506,11.025039420420418,1.5598849435149436,0.8642463909623911,0.5929540895000001,0.3286799999999999,0.7648783333333333,0.4063857142857143
RD2_12_1,RD2,12,1,0.0562267677957722,0.2083616604170656,0.1944286447531118,0.1993141137807988,0.1364340565038369,0.2167519583956768,0.2778092085843928,0.2972398789934724,0.3223000815523339,0.3149894093780087,0.2840237166608388,0.2649762862421151,0.2427274916209154,0.2872250808633149,Sensitive,9,0.0732937811263685,0.1178227016484202,0.0963808844204566,0.2983541448171996,2.7719370454545453,0.5919378009259261,0.6881431666666666,13935.205519161924,2836.34115842055,11098.864360741374,0.796462193936044,25.650020856481472,1.1496832222222224,13.744540992501795,2.0537300555555555,0.8492283106141857,0.625977516111111,0.2895943553921569,0.796462193936044,0.3745712499999999
RD2_12_2,RD2,12,2,0.0395571824116568,0.1566274617755954,0.1460357873837777,0.1500204224632237,0.1154447722080199,0.1705583587014685,0.2456673637233723,0.2251716985852265,0.1830556422558294,0.2675868738639791,0.2725765460324957,0.2649762862421151,0.2427274916209154,0.2872250808633149,Sensitive,9,0.0724420952687694,0.1083011556749383,0.0965907670538474,0.2727584615850442,2.3348901704545457,0.3395422222222222,0.7922400416666666,15972.580519161924,2989.43490842055,12983.145610741374,0.8083166666666667,23.00989898148148,1.3956175972222225,13.430287867501796,1.894217555555556,0.8448908106141857,0.5615368911111109,0.3450318553921568,0.8082855555555556,0.4390118749999999
RD2_12_3,RD2,12,3,0.0508110607762986,0.2057197925238761,0.2001098515289535,0.1766442380798625,0.1116718046843487,0.1767442380798624,0.2295006681318668,0.3113760690632384,0.2687917532974141,0.2589084653648086,0.2353187623347445,0.2649762862421151,0.2427274916209154,0.2872250808633149,Sensitive,9,0.0720191763708199,0.1031348054848691,0.1016354117717335,0.2621097448935835,3.3558664204545456,0.9935292592592592,0.6616533750000001,13986.740694323213,3073.1017109366794,10913.638983386532,0.7802846439997305,24.029257939814805,0.9423475138888888,11.554214849437274,2.223552388888889,0.857484768947519,0.6670689261111112,0.2597733970588234,0.7802846439997305,0.3318335416666666
CK1_73_1,CK1,73,1,0.0335461445107635,0.1971970849000958,0.1843522609802082,0.1638076164599538,0.091610225551328,0.2032093607433052,0.3366045319207202,0.3990777433296766,0.3569868746768616,0.3549676657306175,0.3266662636065527,0.3276960420194899,0.339055735035649,0.3163363490033307,Intermediate,8,0.072743173785279,0.1170057004745692,0.0823181084400337,0.3162268362464798,1.520286486486487,0.2597378378378378,0.6849459459459459,16853.561486486487,3029.068243243243,13824.493243243243,0.8292432432432431,19.59414864864865,3.391932432432432,15.867572972972972,1.2605351351351348,0.8319189189189189,0.4520108108108109,0.4545135135135135,0.8293027027027027,0.5479891891891893
