variety,treatment,replicate,plant_height,leaf_area,leaf_length,leaf_width,SPAD
1099,CK1,1,37.53333333333333,9.6075,21.366666666666664,0.6,24.291666666666668
1099,CK1,2,37.93333333333333,9.957500000000001,21.099999999999998,0.6333333333333333,22.891666666666666
1099,CK1,3,43.833333333333336,10.049999999999999,22.333333333333332,0.6,24.691666666666666
1099,D1,1,28.366666666666664,8.1875,20.400000000000002,0.5333333333333333,23.2625
1099,D1,2,28.633333333333336,1.9075,18.766666666666666,0.13333333333333333,23.45
1099,D1,3,30.866666666666664,1.415,18.866666666666667,0.10000000000000002,22.525
1099,RD2,1,29.099999999999998,18.2325,31.666666666666668,0.7666666666666666,15.833333333333334
1099,RD2,2,28.866666666666664,14.205,24.633333333333336,0.7666666666666666,16.775000000000002
1099,RD2,3,30.833333333333332,13.457500000000001,24.46666666666667,0.7333333333333334,17.224999999999998
1110,CK1,1,31.3,11.309999999999997,23.733333333333334,0.6333333333333333,26.958333333333332
1110,CK1,2,31.633333333333336,11.479999999999999,21.866666666666664,0.6999999999999998,28.008333333333336
1110,CK1,3,33.5,11.207499999999998,23.633333333333336,0.6333333333333333,26.775000000000002
1110,D1,1,25.333333333333332,5.275,15.1,0.4666666666666666,24.675
1110,D1,2,23.099999999999998,3.7975,15.333333333333334,0.3333333333333333,22.2625
1110,D1,3,22.2,4.57,16.766666666666666,0.3666666666666667,23.775
1110,RD2,1,23.933333333333334,5.6625000000000005,15.1,0.5,22.15833333333333
1110,RD2,2,22.733333333333334,6.177499999999999,15.333333333333334,0.5333333333333333,20.108333333333334
1110,RD2,3,22.2,6.697500000000001,16.766666666666666,0.5333333333333333,19.616666666666667
12,CK1,1,44.800000000000004,12.762499999999998,26.566666666666666,0.6333333333333333,25.041666666666668
12,CK1,2,39.6,12.3225,25.866666666666664,0.6333333333333333,26.625
12,CK1,3,45.76666666666667,16.064999999999998,30.599999999999998,0.6999999999999998,27.858333333333334
12,D1,1,28.866666666666664,4.88,16.266666666666666,0.4000000000000001,21.75
12,D1,2,27.933333333333334,4.2725,15.033333333333333,0.3666666666666667,20.9625
12,D1,3,26.266666666666666,3.9975,14.4,0.3666666666666667,20.9625
12,RD2,1,30.733333333333334,9.9175,23.333333333333332,0.5666666666666667,18.641666666666666
12,RD2,2,30.633333333333336,5.9750000000000005,18.5,0.43333333333333335,20.166666666666668
12,RD2,3,28.866666666666664,7.6325,21.5,0.4666666666666666,19.2
1210,CK1,1,41.6,13.577,29.03333333333333,0.62,24.5
1210,CK1,2,40.333333333333336,15.0675,28.7,0.6999999999999998,21.974999999999998
1210,CK1,3,40.766666666666666,13.924999999999999,29.099999999999998,0.6333333333333333,24.483333333333334
1210,D1,1,38.53333333333333,1.5350000000000001,17.5,0.11666666666666665,22.380000000000003
1210,D1,2,35.93333333333334,3.8249999999999997,15.333333333333334,0.3333333333333333,
1210,D1,3,36.43333333333333,5.705000000000001,17.5,0.43333333333333335,
1210,RD2,1,32.333333333333336,9.325000000000001,24.866666666666664,0.5,19.841666666666665
1210,RD2,2,31.099999999999998,10.15,25.333333333333332,0.5333333333333333,22.5
1210,RD2,3,28.633333333333336,10.36375,26.366666666666664,0.5166666666666667,17.083333333333332
1214,CK1,1,39.56666666666667,16.5575,28.833333333333332,0.7666666666666666,26.383333333333336
1214,CK1,2,41.36666666666667,18.6125,29.766666666666666,0.8333333333333334,25.8
1214,CK1,3,45.93333333333334,15.207500000000001,27.433333333333337,0.7333333333333334,28.7
1214,D1,1,32.833333333333336,8.25,18.333333333333332,0.6,25.3625
1214,D1,2,33.333333333333336,7.065,18.666666666666668,0.5,32.025
