Variety,Treatment,Replicate,Fv/Fm,PIabs,Vj,Vi,TRo/RC,ETo/RC,ABS/RC,DIo/RC
12,CK1,1,0.8302499999999998,3.3268055555555556,0.45111875,0.8592882352941177,1.231286111111111,0.6608083333333333,1.4831750000000001,0.2518944444444444
12,CK1,2,0.8328888888888888,3.54999375,0.4483764705882353,0.8476771428571429,1.2000805555555554,0.6583833333333333,1.4406416666666666,0.23689117647058822
12,CK1,3,0.8341176470588235,3.4495857142857145,0.4592735294117647,0.8532735294117648,1.1814972222222222,0.6278828571428571,1.417563888888889,0.2360638888888889
12,D1,1,0.8178749999999999,1.6521000000000001,0.5635166666666667,0.8774514285714285,1.5399750000000003,0.6528852941176472,1.9008416666666663,0.3385470588235294
12,D1,2,0.8147058823529412,1.8216527777777776,0.5547,0.8743833333333334,1.5089685714285714,0.6591944444444445,1.855662857142857,0.33927647058823535
12,D1,3,0.8184827586206895,1.4263805555555558,0.5764529411764706,0.8987805555555557,1.7964416666666665,0.6965142857142858,2.0931878787878793,0.36935806451612907
12,RD2,1,0.7782222222222223,0.9562333333333335,0.618790322580645,0.819844827586207,2.0870193548387097,0.7288548387096773,2.8684096774193546,0.6927379310344827
12,RD2,2,0.7528214285714288,0.7050322580645162,0.657441935483871,0.8204586206896554,2.275454838709677,0.7227225806451613,3.3118999999999996,0.7387481481481483
12,RD2,3,0.7832307692307692,0.63810625,0.677925,0.8208031250000001,2.2618687499999997,0.6761375000000001,2.8814571428571427,0.5905
73,CK1,1,0.8291944444444443,3.5402875,0.44070937499999996,0.8341542857142857,1.2198147058823527,0.6800972222222222,1.4551969696969695,0.24455312499999998
73,CK1,2,0.8319166666666665,3.1535823529411764,0.4572823529411765,0.8248114285714286,1.25226875,0.6938342857142858,1.494516129032258,0.25029677419354845
73,CK1,3,0.8262777777777779,2.3728750000000005,0.4999166666666667,0.8535972222222223,1.4334694444444445,0.7144777777777778,1.7350527777777776,0.2960441176470589
73,D1,1,0.818774193548387,1.9925916666666668,0.5207774193548387,0.8527888888888889,1.4256527777777777,0.64671875,1.7149617647058824,0.30828124999999995
73,D1,2,0.8138275862068967,1.724357575757576,0.5307969696969698,0.8623085714285713,1.4742878787878788,0.6838606060606061,1.799529411764706,0.3368333333333333
73,D1,3,0.81184375,1.6052285714285712,0.53613125,0.8731545454545454,1.4971741935483873,0.7209515151515152,1.877609375,0.35987575757575757
73,RD2,1,0.78403125,0.7910484848484849,0.634265625,0.8509454545454546,2.1188939393939394,0.7397499999999999,2.7416242424242423,0.597675
73,RD2,2,0.775107142857143,0.7056272727272728,0.6328333333333332,0.8472333333333334,2.341345454545454,0.81329,3.288875757575758,0.7377793103448276
73,RD2,3,0.7965151515151516,0.87132,0.6098457142857142,0.8589057142857144,2.160625714285714,0.8248352941176471,2.7501828571428573,0.5494333333333333
1099,CK1,1,0.8231612903225806,2.7723999999999993,0.4766533333333333,0.8851617647058824,1.3196117647058825,0.6610363636363638,1.5756718750000003,0.27548387096774196
1099,CK1,2,0.8252333333333334,2.7323387096774194,0.47977000000000003,0.8817363636363637,1.2842470588235295,0.6568499999999999,1.5414484848484848,0.27250625
1099,CK1,3,0.8286111111111112,3.934861111111112,0.43588823529411763,0.8837485714285714,1.1043527777777777,0.6159833333333332,1.3326000000000002,0.22826388888888882
1099,D1,1,0.7999444444444445,1.8093916666666665,0.5194416666666667,0.8709166666666666,1.5301055555555558,0.7205527777777777,1.9178916666666668,0.3878
1099,D1,2,0.7885312499999999,1.6849694444444445,0.5576111111111111,0.8823757575757575,1.6473027777777778,0.6809406250000001,1.949484375,0.427971875
1099,D1,3,0.7904848484848486,1.5318722222222219,0.5349441176470587,0.881929411764706,1.5471942857142855,0.6881400000000001,1.9499294117647055,0.4085939393939394
1099,RD2,1,0.8033214285714286,1.063432258064516,0.573696551724138,0.8272107142857142,1.878925806451613,0.7506264705882353,2.307693103448276,0.44979642857142854
1099,RD2,2,0.7968214285714286,0.800675,0.6054370370370371,0.8545166666666668,1.7774280000000002,0.6819028571428571,2.237284,0.45479615384615385
1099,RD2,3,0.7988181818181819,1.0165970588235296,0.6056694444444443,0.8679057142857143,1.72754375,0.6887685714285714,2.142264516129033,0.42668125
1110,CK1,1,0.8296774193548386,3.634065714285714,0.43932424242424245,0.807142857142857,1.1930166666666666,0.6522371428571428,1.4193911764705884,0.24348823529411767
1110,CK1,2,0.8301428571428572,3.948242857142857,0.44080588235294116,0.8016342857142859,1.0978352941176472,0.6146400000000001,1.3224205882352942,0.2264314285714286
1110,CK1,3,0.823861111111111,2.8661742857142856,0.4733,0.8229600000000001,1.2363342857142858,0.6400314285714286,1.5017628571428572,0.2547625
1110,D1,1,0.8156764705882353,2.611658333333333,0.4739575757575758,0.8217166666666667,1.2740176470588238,0.6641090909090909,1.5626117647058821,0.28859705882352943
1110,D1,2,0.8188888888888887,2.624523529411764,0.4746999999999999,0.8328393939393939,1.3191472222222222,0.6974444444444444,1.6099388888888886,0.29078333333333334
1110,D1,3,0.8139714285714285,2.010297142857143,0.5088942857142856,0.8417833333333333,1.4247000000000003,0.69195,1.7523666666666664,0.32766388888888887
1110,RD2,1,0.812709677419355,1.5443555555555557,0.54415625,0.8653029411764707,1.561209375,0.67943125,1.889612903225806,0.35408709677419353
1110,RD2,2,0.7935,0.8720333333333334,0.6379777777777779,0.87258,2.089131428571428,0.6666703703703704,2.579262068965517,0.522425
1110,RD2,3,0.8029655172413792,1.0453249999999998,0.6392444444444444,0.8771030303030303,1.765960606060606,0.6773620689655173,2.101663333333333,0.40628965517241383
1210,CK1,1,0.81734375,1.8841264705882352,0.51616875,0.8698000000000001,1.4851266666666667,0.71685,1.8166266666666668,0.33183124999999997
1210,CK1,2,0.8189687499999999,1.7791114285714287,0.5393885714285714,0.8700542857142859,1.5301114285714286,0.695811111111111,1.87582,0.34571142857142856
1210,CK1,3,0.8123611111111112,1.5076138888888893,0.5670194444444445,0.87595,1.6225371428571427,0.6946166666666667,1.9980000000000002,0.3700117647058824
