Variety,Treatment,Replicate,t for Fm,Area,Fo,Fm,Fv,F1,F2,F3,F4,F5,Fo/Fm,Fv/Fm,PI Inst.,Fv/Fo,Vj,Vi,dVG/dto,dV/dto,Sm,N,Sm/t(Fm),ABS/RC,DIo/RC,TRo/RC,ETo/RC,REo/RC,phi(Po),psi(Eo),phi(Eo),delta(Ro),phi(Ro),ABS/CSo,DIo/CSo,TRo/CSo,ETo/CSo,REo/CSo,ABS/CSm,DIo/CSm,TRo/CSm,ETo/CSm,REo/CSm,gamma(RC)/((1-gamma(RC)),phi(Po)/((1-phi(Po)),psi(Eo)/(1-psi(Eo)),PI abs,dRo/(1-dRo),PI total,DF abs,DF Total,kP / ABS * kF,kN / ABS * kF,Origin to F1,F1 to F3,F1 to F4,F1 to F5,F3 to F4,F4 to F5,F5 to Fm
12,CK1,1,162.8125,255671.22222222222,4315.416666666667,25849.97142857143,21457.82857142857,4986.571428571428,5622.294117647059,8194.941176470587,14491.411764705883,22840.114285714284,0.16977777777777775,0.8302499999999998,3.3268055555555556,4.900361111111112,0.45111875,0.8592882352941177,0.2522416666666667,0.5704833333333332,11.970902857142857,14.70204857142857,0.07140277777777779,1.4831750000000001,0.2518944444444444,1.231286111111111,0.6608083333333333,0.1748,0.8302222222222222,0.5488812500000001,0.4540818181818182,0.2610235294117647,0.11688529411764707,4315.416666666667,747.5135314285715,3581.4481130555555,1933.2442,502.7099638888889,25849.97142857143,4315.416666666667,21457.82857142857,11408.361111111111,2970.3333333333335,0.6791027777777778,4.900361111111112,1.204155882352941,3.9920833333333334,0.3544794117647059,1.4214361111111111,0.5878805555555555,0.1340888888888889,0.00019999999999999996,0.0,844.1428571428571,4761.361111111111,26991.027777777777,175381.75,22229.75,148390.77777777778,79459.44444444444
12,CK1,2,164.0,306575.94444444444,4808.970588235294,29690.1935483871,24748.387096774193,5419.294117647059,5979.5,8591.676470588236,15455.5,25610.09375,0.16708888888888887,0.8328888888888888,3.54999375,4.992027777777778,0.4483764705882353,0.8476771428571429,0.23995277777777776,0.5416916666666667,12.799438235294119,15.351088571428571,0.08,1.4406416666666666,0.23689117647058822,1.2000805555555554,0.6583833333333333,0.1859714285714286,0.8329111111111112,0.5516235294117647,0.4597,0.28107142857142864,0.12692571428571425,4808.970588235294,785.950156111111,4005.090198823529,2254.330063939394,583.7252088235294,29690.1935483871,4808.970588235294,24748.387096774193,13880.290322580646,3500.470588235294,0.7030500000000001,4.992027777777778,1.2198562499999999,4.2599687500000005,0.39284857142857144,1.5979151515151515,0.6403862068965518,0.20637714285714287,0.00019999999999999993,0.0,975.6129032258065,5586.0,32639.774193548386,214843.41379310345,26994.290322580644,180790.0,99154.16666666667
12,CK1,3,165.0,302472.1176470588,4905.212121212121,29423.77142857143,24520.6,5492.935483870968,6026.466666666666,8682.290322580646,15855.806451612903,25813.942857142858,0.16583823529411768,0.8341176470588235,3.4495857142857145,5.012999999999999,0.4592735294117647,0.8532735294117648,0.23948333333333338,0.5506,12.12280303030303,14.371418181818182,0.07808333333333334,1.417563888888889,0.2360638888888889,1.1814972222222222,0.6278828571428571,0.17816129032258063,0.8341617647058823,0.5407264705882353,0.4511,0.27276666666666666,0.1223529411764706,4905.212121212121,806.4343181818183,4107.051094411764,2174.067972352941,592.2811333333334,29423.77142857143,4905.212121212121,24520.6,13141.942857142858,3525.3142857142857,0.709338888888889,5.012999999999999,1.1684416666666666,4.139457142857143,0.37323428571428574,1.5738142857142858,0.6191457142857143,0.20457187500000001,0.0002,0.0,965.5142857142857,5559.0,31152.764705882353,205020.13888888888,25612.470588235294,174036.80555555556,96781.11111111111
12,D1,1,173.8235294117647,141205.88888888888,2809.0555555555557,15249.333333333334,12440.277777777777,3346.75,3823.1944444444443,5967.75,9705.055555555555,13718.055555555555,0.18206875,0.8178749999999999,1.6521000000000001,4.48239393939394,0.5635166666666667,0.8774514285714285,0.4042694444444444,0.8871388888888888,11.128229411764703,16.64022058823529,0.065471875,1.9008416666666663,0.3385470588235294,1.5399750000000003,0.6528852941176472,0.1793714285714286,0.81793125,0.43648333333333333,0.3595628571428571,0.27697857142857146,0.09978571428571428,2809.0555555555557,520.1010916666668,2288.9544622222224,1015.9922894444446,280.94338611111107,15249.333333333334,2809.0555555555557,12440.277777777777,5544.277777777777,1531.2777777777778,0.54438,4.48239393939394,0.7934166666666668,1.9825714285714287,0.38341428571428565,0.7870833333333334,0.28000571428571425,-0.1566722222222222,0.0003166666666666667,9.999999999999999e-05,483.9166666666667,2648.277777777778,13616.333333333334,83084.22222222222,10967.916666666666,69467.91666666667,57637.916666666664
12,D1,2,161.61290322580646,133213.33333333334,2767.3333333333335,14821.666666666666,12054.333333333334,3276.6666666666665,3731.3055555555557,5728.416666666667,9304.777777777777,13328.0,0.18532058823529413,0.8147058823529412,1.8216527777777776,4.384628571428571,0.5547,0.8743833333333334,0.3879885714285714,0.8519742857142858,10.941805714285714,16.165726470588233,0.06514571428571428,1.855662857142857,0.33927647058823535,1.5089685714285714,0.6591944444444445,0.17010714285714285,0.8146794117647059,0.4453,0.3669771428571429,0.2767057142857143,0.10149999999999999,2767.3333333333335,520.6633527777777,2246.669973333333,1023.9976899999997,279.0883777777778,14821.666666666666,2767.3333333333335,12054.333333333334,5516.888888888889,1493.6666666666667,0.5627916666666666,4.384628571428571,0.8300805555555556,2.185916666666667,0.3853485714285715,0.8414722222222222,0.29915714285714284,-0.13449444444444447,0.00031562500000000004,7.647058823529411e-05,469.1666666666667,2577.8055555555557,13528.194444444445,82284.86111111111,10950.361111111111,68756.63888888889,50459.305555555555
12,D1,3,146.06060606060606,113031.75,2841.4444444444443,15144.305555555555,12302.861111111111,3456.3055555555557,4018.277777777778,6451.685714285714,9767.666666666666,13886.138888888889,0.18155517241379313,0.8184827586206895,1.4263805555555558,4.4938666666666665,0.5764529411764706,0.8987805555555557,0.455146875,0.9931121212121212,9.248458333333334,14.449673333333331,0.06194444444444444,2.0931878787878793,0.36935806451612907,1.7964416666666665,0.6965142857142858,0.1643125,0.8184448275862068,0.4235470588235294,0.3495121212121212,0.23261612903225803,0.08096666666666666,2841.4444444444443,544.4235,2297.020951388889,990.0635255555558,234.2934472222222,15144.305555555555,2841.4444444444443,12302.861111111111,5376.638888888889,1258.1666666666667,0.4828138888888889,4.4938666666666665,0.7458571428571429,1.7116111111111112,0.30395161290322587,0.5306527777777776,0.2278875,-0.35398888888888885,0.00027096774193548386,9.999999999999999e-05,476.30555555555554,2552.3611111111113,13047.527777777777,73922.16666666667,10495.25,60874.63888888889,38986.666666666664
12,RD2,1,194.0,162561.25806451612,3032.5806451612902,13857.41935483871,10824.838709677419,3700.032258064516,4340.0,6692.225806451613,9138.451612903225,11820.483870967742,0.22168148148148148,0.7782222222222223,0.9562333333333335,3.3805161290322574,0.618790322580645,0.819844827586207,0.7896387096774194,1.3581548387096776,14.289833333333332,29.335319354838713,0.07644666666666668,2.8684096774193546,0.6927379310344827,2.0870193548387097,0.7288548387096773,0.3570740740740741,0.7783185185185185,0.3812096774193548,0.29851612903225805,0.44130400000000003,0.14058064516129032,3032.5806451612902,703.9856129032258,2328.595040645161,965.5792409677418,433.0805,13857.41935483871,3032.5806451612902,10824.838709677419,4718.967741935484,2036.9354838709678,0.384474193548387,3.3805161290322574,0.7124322580645163,1.1475666666666666,0.7111695652173912,0.8582499999999998,-0.18406774193548384,-0.019444,0.0002655172413793103,6.8e-05,416.4193548387097,2142.2580645161293,10800.0,92004.29032258065,8657.58064516129,81204.41935483871,70140.64516129032
12,RD2,2,171.0344827586207,116704.64516129032,2705.6451612903224,11296.290322580646,8590.645161290322,3357.451612903226,4001.8709677419356,6124.709677419355,7952.0,9749.483870967742,0.2471392857142857,0.7528214285714288,0.7050322580645162,3.093645161290323,0.657441935483871,0.8204586206896554,0.9870387096774195,1.552722580645161,13.600439285714288,29.531753333333338,0.07892903225806452,3.3118999999999996,0.7387481481481483,2.275454838709677,0.7227225806451613,0.40020000000000006,0.7528607142857142,0.3425580645161291,0.2599709677419355,0.5752896551724136,0.12864666666666666,2705.6451612903224,662.7580989655173,1982.9698874193548,725.2123180645161,329.1888413793103,11296.290322580646,2705.6451612903224,8590.645161290322,3344.2903225806454,1546.8064516129032,0.3423064516129032,3.093645161290323,0.578058064516129,0.8461612903225808,0.728457894736842,0.698737037037037,-0.3574451612903225,-0.08812083333333333,0.00030645161290322585,9.999999999999999e-05,327.7096774193548,1604.8064516129032,7717.612903225807,67783.90322580645,6112.8387096774195,60066.096774193546,46592.5
12,RD2,3,148.75,113013.125,2841.0,12300.6875,9381.375,3548.3870967741937,4339.96875,6772.25,9002.46875,10632.625,0.21665769230769227,0.7832307692307692,0.63810625,3.6724230769230766,0.677925,0.8208031250000001,1.0032468749999999,1.585728125,12.846706896551723,28.102025,0.08382903225806451,2.8814571428571427,0.5905,2.2618687499999997,0.6761375000000001,0.4024375,0.7833423076923076,0.322075,0.2430125,0.62625625,0.13025,2841.0,614.6575469230769,2135.2800753125002,716.6909087500001,367.1162612903226,12300.6875,2841.0,9381.375,3298.21875,1668.0625,0.35544687499999994,3.6724230769230766,0.5093624999999999,0.76571875,1.1945666666666668,0.8419099999999999,-0.371428125,-0.09591785714285715,0.0002482758620689654,0.000121875,357.1875,1742.125,7909.53125,69982.8125,6167.625,62073.375,42672.8125
73,CK1,1,196.7741935483871,196885.30555555556,2828.5833333333335,16713.86111111111,13885.277777777777,3213.222222222222,3562.4444444444443,5190.055555555556,9095.472222222223,14431.361111111111,0.17073888888888888,0.8291944444444443,3.5402875,4.863388888888889,0.44070937499999996,0.8341542857142857,0.23247812499999998,0.528765625,14.011421212121212,17.278006666666666,0.0684361111111111,1.4551969696969695,0.24455312499999998,1.2198147058823527,0.6800972222222222,0.2068333333333333,0.8292611111111111,0.559290625,0.46226666666666666,0.2992735294117647,0.13759999999999997,2828.5833333333335,479.08305277777777,2349.5002788888887,1288.3486975000003,385.75415555555554,16713.86111111111,2828.5833333333335,13885.277777777777,7618.388888888889,2282.5,0.6879970588235294,4.863388888888889,1.253271875,4.248374999999999,0.42961176470588236,1.7407676470588236,0.63578125,0.25036969696969696,0.0003588235294117647,6.571428571428571e-05,546.25,3134.9444444444443,17783.166666666668,124371.08333333333,14648.194444444445,106587.97222222222,71968.05555555556
