Variety,Treatment,Replicate,Fv/Fm,PIabs,Vj,Vi,TRo/RC,ETo/RC,ABS/RC,DIo/RC,ABS_RC_log,DIo_RC_log
12,CK1,1,0.8302499999999998,3.326805555555556,0.45111875,0.8592882352941177,1.231286111111111,0.6608083333333333,1.483175,0.2518944444444444,0.3941850602397183,-1.3787451504739865
12,CK1,2,0.8328888888888888,3.54999375,0.4483764705882353,0.8476771428571429,1.2000805555555554,0.6583833333333333,1.4406416666666666,0.2368911764705882,0.36508861618873906,-1.440154414308472
12,CK1,3,0.8341176470588235,3.4495857142857145,0.4592735294117647,0.8532735294117648,1.1814972222222222,0.6278828571428571,1.417563888888889,0.2360638888888889,0.3489398271306325,-1.4436527949625062
12,D1,1,0.8178749999999999,1.6521,0.5635166666666667,0.8774514285714285,1.5399750000000003,0.6528852941176472,1.9008416666666663,0.3385470588235294,0.642296770540773,-1.0830921746571773
12,D1,2,0.8147058823529412,1.8216527777777776,0.5547,0.8743833333333334,1.5089685714285714,0.6591944444444445,1.855662857142857,0.3392764705882353,0.6182419676172991,-1.0809399565218925
12,D1,3,0.8184827586206895,1.4263805555555558,0.5764529411764706,0.8987805555555557,1.7964416666666665,0.6965142857142858,2.0931878787878797,0.369358064516129,0.7386882047423556,-0.9959887408985814
12,RD2,1,0.7782222222222223,0.9562333333333336,0.618790322580645,0.819844827586207,2.0870193548387097,0.7288548387096773,2.8684096774193546,0.6927379310344827,1.053757756824578,-0.36710351721039564
12,RD2,2,0.7528214285714288,0.7050322580645162,0.657441935483871,0.8204586206896554,2.275454838709677,0.7227225806451613,3.3119,0.7387481481481483,1.1975220428304734,-0.30279821700182613
12,RD2,3,0.7832307692307692,0.63810625,0.677925,0.8208031250000001,2.26186875,0.6761375000000001,2.8814571428571427,0.5905,1.0582961185780573,-0.52678564334472
73,CK1,1,0.8291944444444443,3.5402875,0.4407093749999999,0.8341542857142857,1.2198147058823527,0.6800972222222222,1.4551969696969695,0.2445531249999999,0.3751412658233521,-1.4083227135055276
73,CK1,2,0.8319166666666665,3.1535823529411764,0.4572823529411765,0.8248114285714286,1.25226875,0.6938342857142858,1.494516129032258,0.2502967741935484,0.4018024949434107,-1.3851079683879501
