Sample_ID,Treatment,Variety,Sample,D_conv,D_stress,D_recovery,Category,Rank,R460,R520,R590,R660,R680,R710,R730,R780,R820,R850,R910,VI_NDVI,VI_NDRE,VI_EVI,VI_SIPI,VI_PRI,VI_MTCI,VI_GNDVI,VI_NDWI,BF(F440),GF(F520),RF(F690),FrF(f740),SR_F690_F740,SR_F440_F690,SR_F440_F520,SR_F520_F690,SR_F440_F740,SR_F520_F740,OJIP_FvFm,OJIP_PIabs,OJIP_TRo_RC,OJIP_ETo_RC,OJIP_Vi,OJIP_Vj,OJIP_ABS_RC_log,OJIP_DIo_RC_log,Trt_CK1,Trt_D1,Trt_RD2
CK1_12_1,CK1,12,1,0.2649762862421151,0.2427274916209154,0.2872250808633149,Sensitive,9,0.0426359771503136,0.1843785576726659,0.1949687038405602,0.1518124394914847,0.084919299940562,0.1682862506294257,0.3146387011212179,0.3759438869932213,0.3527437533445542,0.3743038266197779,0.3225040349591906,0.6119421125308413,0.35402472277650304,0.43407818083685534,1.1578770058254066,-0.027916759239673794,1.7555212141319474,0.3134578330083379,0.07433870155139871,0.0591863282941331,0.0954207632975008,0.0700945815369146,0.2392841258961203,0.289756864002248,0.8352185373562975,0.6135383103912403,1.346547296509016,0.2446643449791316,0.3944501918343525,0.8213706995357747,3.2944199230244564,1.2174941231209666,0.6536719538933466,0.8496069881977225,0.4560687275680414,0.8993725357203328,0.221973314916561,True,False,False
CK1_12_2,CK1,12,2,0.2649762862421151,0.2427274916209154,0.2872250808633149,Sensitive,9,0.041265330190686,0.1761115189730213,0.1551057555766273,0.1507745740544194,0.0850301712193366,0.1788384650228651,0.2799495617476473,0.3204881673272569,0.337044526020392,0.3281630231990294,0.3053623421167983,0.5970847256402038,0.3066704344673019,0.40971666160588704,1.1736601117948195,0.06341989084040142,1.0778481584639907,0.31361416983685025,0.035990162873532947,0.0594949170789152,0.1005939218210698,0.0714733841531296,0.2726806489421775,0.2592705570022992,0.8233769238542863,0.5850207859448457,1.3921645406717362,0.2158185242328491,0.3649056561491007,0.8233264289278329,3.636813587674864,1.1871229140347976,0.6509776277313382,0.8374465782972935,0.4439562900699235,0.8826608233747533,0.2133361551158015,True,False,False
CK1_12_3,CK1,12,3,0.2649762862421151,0.2427274916209154,0.2872250808633149,Sensitive,9,0.0337611358318046,0.1719920733789089,0.1152388021479738,0.1098628284495452,0.0685825084690424,0.1394874210138382,0.241007173980076,0.2811272047945284,0.2680636289577207,0.3034206268583754,0.2927186326923043,0.5925543124108327,0.31548491398281325,0.3496356048085472,1.1745597405505557,0.1975876413941558,1.4317731920492867,0.21831680641492945,0.0179521714005841,0.066096277287338,0.1082910187751615,0.0774750787319755,0.2830409537600241,0.2707546481631642,0.8438750500867988,0.6037369184319995,1.382590557945785,0.2309887849709553,0.3784481044431438,0.8233264289278329,3.474236433838695,1.1676717046849003,0.62345705506152,0.843523663237884,0.4588167517819,0.8726601974204029,0.2094241656594726,True,False,False
D1_12_1,D1,12,1,0.2649762862421151,0.2427274916209154,0.2872250808633149,Sensitive,9,0.0426736560663589,0.1956220954787715,0.1990078823297448,0.192379207232222,0.1174815949308066,0.1924781224642322,0.3282735164207516,0.3434202852672781,0.3011053023770044,0.3295727548837988,0.320316317206431,0.438675239543317,0.22007866238156723,0.27228644027370313,1.4073980419242247,-0.008579649396570133,1.8106890868513343,0.21235632935403292,0.014243104054044824,0.0649320194883099,0.1132709671452002,0.0906313129647743,0.2929491515207363,0.3060195702816713,0.7086696148896786,0.5670266555362838,1.2362420466442186,0.2192450716129066,0.3824630975459445,0.7566136002275988,1.7108164657717804,1.2658509935069815,0.6126817784374229,0.851442930366833,0.5562725309790553,0.9339704371727842,0.3433519612760995,False,True,False
D1_12_2,D1,12,2,0.2649762862421151,0.2427274916209154,0.2872250808633149,Sensitive,9,0.0425359209005424,0.2005262820049098,0.2011082914947226,0.1994392437965832,0.1138508804826027,0.1995381590285934,0.2891096629676785,0.270532773697958,0.2533375792378709,0.2775296597617128,0.3074386656502221,0.37987767606164435,0.118795103520478,0.21560015451016676,1.51126709728204,-0.0014491020649479236,1.0453302457378153,0.11635933534860429,-0.05112927416616511,0.0630560074144671,0.1049421727601241,0.0877587732670809,0.2815886106378995,0.3082752315845618,0.7107209186970754,0.5943463369506242,1.1828309544544748,0.2215004217223292,0.3686363357901392,0.7566136002275988,1.797883257017976,1.2834704548605158,0.6227781868675123,0.8479501533230125,0.5484080274273948,0.949307306311428,0.3588763861811805,False,True,False
D1_12_3,D1,12,3,0.2649762862421151,0.2427274916209154,0.2872250808633149,Sensitive,9,0.0447333705341933,0.1819136298025552,0.1788819223334446,0.1754949861979327,0.1077471204994829,0.1787575711336344,0.2632069480260539,0.3021294743078592,0.2880433874083981,0.2871150063873042,0.2620678130028606,0.4555345904123567,0.23411652070316638,0.28188454396510587,1.349501135246044,0.008402840476170343,1.189252795021761,0.2258286475552371,0.04560811536722333,0.0672853658705079,0.0979031180603617,0.0893130162987347,0.2773144173538444,0.318570444691283,0.7451934605301,0.679809560830007,1.0842887216292276,0.2400000561495653,0.3492104639354169,0.7566136002275988,1.3898183588829651,1.5429638109704822,0.6500212473586351,0.8548713227605055,0.5865219133430835,1.0880112563167323,0.4449534509600887,False,True,False
RD2_12_1,RD2,12,1,0.2649762862421151,0.2427274916209154,0.2872250808633149,Sensitive,9,0.0556168378170424,0.2061014198219121,0.1923195450518902,0.1971520180754148,0.1349540635317412,0.2144007025338051,0.2747956232170414,0.2940155159333259,0.3188038734366579,0.3115725050939166,0.2809427182991525,0.40517155718142406,0.1958032162661639,0.2685660835682672,1.4315328134183567,0.03459123887817309,0.7601947853535664,0.21471007258299488,0.05169451447907283,0.072498713650219,0.1165445986962582,0.0953353754380081,0.2951176945580764,0.3195376268845401,0.7522105032645902,0.6153204142697491,1.209208644184231,0.2429954967454503,0.3906250363258809,0.7878224270056216,1.137211826643822,2.031451849316644,0.6806784098708905,0.8400161537405951,0.6191871123931926,1.3131874176890217,0.4599083662418103,False,False,True
RD2_12_2,RD2,12,2,0.2649762862421151,0.2427274916209154,0.2872250808633149,Sensitive,9,0.039128078759201,0.1549284172070675,0.1444516379086327,0.1483930489422278,0.1141924642732466,0.1687081962224012,0.2430024428003941,0.2227291080769569,0.1810699132451738,0.2646841771114817,0.2696197229135198,0.22650176271697517,0.03534159711020605,0.10630559380081636,2.1224169980759133,0.03499491405459818,1.3628037984940782,0.07780245813400569,-0.009237338154947393,0.0716562666081765,0.1071263394056277,0.0955429813317758,0.2697996651043858,0.3502842065523155,0.7418542032495111,0.6616389834018587,1.109074320064148,0.2627096008882703,0.3927516629321921,0.7995483062107066,1.380478384267986,1.8736696898563228,0.7836460752925416,0.8357257055521513,0.555445518665599,1.1913743696025734,0.2891568505743344,False,False,True
RD2_12_3,RD2,12,3,0.2649762862421151,0.2427274916209154,0.2872250808633149,Sensitive,9,0.0502598786537357,0.2034882100659598,0.197939123915195,0.1747280579294025,0.1104604246935365,0.1748269731614126,0.2270111183476685,0.3079983611382423,0.2658759863985074,0.2560999092097314,0.2327660997270188,0.4129697715243385,0.2065995048638092,0.25039733665803626,1.387352111843735,0.013823388895150081,0.8107339360024846,0.13291975996995462,0.047730480450997245,0.0712379353990546,0.1020160321286597,0.1005329033585648,0.2592664622829152,0.3835527113309955,0.7009164826227966,0.6907264234907907,1.0037449570963175,0.2717866724138721,0.3892111379954876,0.7718203659525459,0.9321252297058472,2.1994320043385,0.6544759709847802,0.8481830486568399,0.6598327759309685,1.455560922643968,0.6824226794854105,False,False,True
CK1_73_1,CK1,73,1,0.3276960420194899,0.339055735035649,0.3163363490033307,Intermediate,8,0.0333918223788496,0.1962899203065847,0.1835041863548673,0.1630540532423474,0.0911887915678295,0.2022745379124822,0.3350560520660177,0.3972418683268063,0.3553446300502785,0.3533347100591113,0.3251635027093084,0.5915701394203028,0.2745065107733505,0.3997422043217048,1.218798757282891,0.03366490876888358,1.1953064954127406,0.2883334802738483,0.041519943339066896,0.0724085337894035,0.1164674398366735,0.0819394209284032,0.3147720997857143,0.2591159620577703,0.8796185319805924,0.6188462052176393,1.414845917894627,0.2289765619704322,0.3683034658989656,0.8254284804131552,3.376328545550212,1.2547363027434155,0.6817949931266083,0.8280918471937075,0.4499314281279505,0.9201201944143156,0.229841409472546,True,False,False
